supplier_obj_id,aat2,abp1,arc18,ard1,arl3,asf1,atp4,bck1,bem2,bim1,BY4741-2nd,BY4741,ccr4,chs3,chs7,cin8,dcc1,dia2,dnm1,doa4,doc1,drs2,elf1,faa2,fet3,fks1,gbp2,gcn3,gim4,gsy2,gyp1,hhf1,hpr5,hsp104,hsp82,hxk2,iki3,kem1,kre1,lat1,med2,mms22,mrc1,msn5,mso1,MT2481-pdr1pdr3-1st,MT2481-pdr1pdr3-2nd,nat1,ndi1,nth1,paf1,pep5,pfk2,pmr1,pom152,qcr8,rad23,rbl2,ref2,rgp1,rpa49,rpn1,rrp6,rsa3,rsc2,sac3,sdh2,sec66,skt5,snc1,snf2,spt3,srl3,ssb2,sse1,sto1,sur2,swc5,swe1,swi4,swr1,tpk1,trk1,ubp6,vam3,vba3,vid30,vph1,vps35,whi5,ypt6
SPE01600365,-4.55248,-1.03037,-1.71649,-3.57295,-6.935810000000001,-0.8628709999999999,-7.71731,-6.9185,-11.0369,1.2918,-0.674211,-1.8782299999999998,-0.144175,-5.4266,-10.6595,-6.37185,-6.58983,-0.6500060000000001,-6.30652,0.43557399999999996,-5.217169999999999,-4.68617,-9.90895,-3.57025,-5.45723,-3.4726,-4.173430000000001,-0.7484810000000001,-4.968719999999999,-3.9847699999999997,-3.9443599999999996,-8.58118,-1.46495,-1.17472,-7.27866,-10.4759,0.040384699999999996,-0.669258,-0.8357959999999999,-30.43,0.90596,-9.53438,-5.700480000000001,-4.9054400000000005,-1.0565200000000001,-8.24313,-14.8117,-1.54829,-0.9532149999999999,-0.885181,-3.13777,-0.879834,-10.2668,2.83054,-0.211009,-10.0723,-0.818621,-2.56894,2.86829,-8.29292,-2.2930900000000003,-1.07103,-1.68632,-4.91248,-0.404179,-3.62586,0.75444,-0.836219,-0.00694813,-0.788471,-5.58065,-13.0523,-1.19549,-1.84008,-4.28051,-1.21022,-2.86349,-5.44998,-1.47844,0.312359,-1.0581,-7.141539999999999,-2.1868,-0.541239,-4.79287,-6.65297,-0.689528,-5.68099,-0.331835,-5.40381,-8.8867
SPE02300329,-0.47135,0.437813,-0.038763900000000004,-0.26647,-1.4367,0.344115,-1.12137,-0.144394,-0.235026,-0.367104,-0.0194239,-1.256,-0.8569459999999999,-0.32368800000000003,-0.07924869999999999,-0.21878000000000003,-0.286005,0.283621,-0.8963180000000001,-0.0025212,0.25204899999999997,0.460908,-0.897859,0.319999,0.21891100000000002,-0.00999503,-0.17838099999999998,-0.0251343,0.46971199999999996,0.30835999999999997,0.193339,-0.321044,0.0173488,-0.014287200000000002,-0.047932300000000004,0.194447,0.16581500000000002,0.698902,0.379902,0.0662272,-0.308695,0.018489099999999998,-0.0618275,-0.6353840000000001,0.999152,-0.109671,-0.391322,-0.72185,0.162684,0.20285999999999998,0.11441099999999998,-1.78614,-0.0586226,0.053417599999999996,0.174151,-0.207261,-0.398268,-0.312985,-1.0010700000000001,-0.616945,0.20163699999999998,0.951066,0.794081,0.53627,-0.614488,0.335045,-0.0760026,-1.0499,-0.378347,0.163703,-1.02672,0.0354734,-0.141828,-0.10838900000000001,-0.170819,-0.0563616,0.0583189,-0.516075,0.11088599999999998,-0.44005500000000003,-0.0736435,-0.9271780000000001,0.210657,0.332716,0.0630472,-0.35825999999999997,0.16639,0.0297253,-0.13836700000000002,-0.782034,-0.5861460000000001
SPE00100006,0.133653,-0.43033599999999994,-0.43547299999999994,0.13864,-0.0462406,-0.473008,0.538875,0.142503,0.247137,-0.971888,-0.0349957,-1.73605,0.352734,0.072439,0.0384228,-0.254277,0.8749100000000001,-1.05103,0.62876,0.125843,-0.873934,-0.196702,0.611855,0.617945,0.403685,-0.20343699999999998,-0.498366,-0.219212,-0.23733400000000002,0.642692,-0.72197,0.382459,-0.15126900000000001,-0.7786890000000001,-0.551732,-1.1165200000000002,-0.28680300000000003,-0.137981,-0.7430140000000001,-0.129146,-0.8123520000000001,-0.361834,0.0312358,-0.38060900000000003,-0.303537,-0.194372,-2.1019099999999997,-1.29959,-0.222371,-0.0387098,-0.249457,-2.3704,-0.244873,-0.24255500000000002,-0.15345999999999999,-0.709943,-0.166113,-0.320762,-1.17669,-1.23286,-0.381736,0.9947090000000001,-1.9625700000000001,-0.34828200000000004,-0.082662,-0.636137,-0.682701,-0.237077,0.272331,-0.158931,-0.49418500000000004,1.35501,-0.228217,-0.346202,1.6449900000000002,0.21941100000000002,1.09721,-0.00853169,0.41485200000000005,-0.696505,-0.354604,0.62815,-0.778428,-0.731753,0.205094,-0.110349,-0.628475,-2.33783,0.186979,0.836775,-2.12007
SPE00100101,-3.25695,-2.21846,-3.3940900000000003,-1.1609,-4.9568900000000005,-2.1407700000000003,-1.4215799999999998,-2.63957,-9.24408,-1.9774200000000002,-1.63665,-3.05619,-0.976022,-3.3164599999999997,-3.93773,-2.87319,-1.6077,-2.43392,-1.4646,-2.2201400000000002,-3.9719599999999997,-3.51694,-0.791623,-3.4968,-2.78913,-2.37883,-3.8897699999999995,-3.64566,-3.00615,-2.3116,-2.93987,-2.70972,-3.5485,-3.35368,-3.49694,-4.50978,-1.64484,-3.03686,-3.04411,-4.96892,-1.93915,-4.96572,-3.01382,-1.56295,-2.83935,-0.872654,-1.6056,-2.8752299999999997,-2.16317,-1.77466,-2.1985799999999998,-3.9013,-2.11187,-2.83996,-2.06695,-2.47431,-3.06034,-2.83945,0.553585,-3.10679,-0.710168,-2.25407,-3.4327400000000003,-3.6041800000000004,-1.31082,-3.41284,-3.68868,-3.18725,-2.97822,-1.25691,-2.39962,-4.55504,-2.27135,-1.57125,-2.4758400000000003,-1.5809799999999998,-1.55216,-3.12796,-2.65023,-2.27378,-3.00906,-1.25702,-2.96958,-2.3391,-1.82425,-3.17414,-2.08645,-3.61599,-1.6833799999999999,-0.728549,-1.23219
SPE00100605,0.105802,0.979506,0.41337399999999996,0.932815,0.592776,1.4905700000000002,0.779416,1.09256,1.15093,0.8788879999999999,0.642169,0.0984017,-0.283565,1.53471,1.03593,0.770836,1.08172,1.8444099999999999,1.18718,1.06978,1.31535,1.73108,0.405063,1.28874,1.23336,1.46573,1.2980200000000002,1.0318100000000001,0.9631639999999999,0.14363,1.09412,0.996634,1.1397700000000002,1.4458,0.812601,1.3006799999999998,1.8260900000000002,1.5881299999999998,0.691413,0.8997219999999999,1.19705,0.9310350000000001,0.817711,1.05766,2.17468,1.19713,1.01122,0.253907,0.580565,1.08989,0.8816069999999999,0.126357,1.95965,1.4832299999999998,1.05003,1.09681,0.804693,2.05176,0.141914,1.0621,0.8894489999999999,2.57006,1.12036,1.2666600000000001,1.60525,1.25681,0.9483299999999999,1.14992,2.44691,1.4170399999999999,0.58108,0.9057069999999999,1.2653,0.889882,0.6151220000000001,0.8846629999999999,2.10846,0.8740709999999999,1.76059,1.38972,0.940213,0.48215,0.9534549999999999,1.41612,1.03044,0.87516,0.325448,1.44014,0.903358,0.806038,0.80716
SPE00200115,-0.6419590000000001,0.263876,-0.232377,0.13339,-0.225923,-0.0635892,0.972241,0.08609119999999999,-0.8234370000000001,-0.389208,-0.07501000000000001,-1.08178,0.807808,-0.17216800000000002,0.362636,-0.205154,0.257903,-0.370818,0.0877284,-1.30964,-0.0517229,0.208508,-0.144812,-0.9099729999999999,-3.00516,0.183618,-0.39838,-0.364782,-0.826845,0.7366699999999999,-0.8036810000000001,0.024941,-0.299964,-0.104755,-0.277931,0.146304,-1.0560100000000001,-0.152447,0.137457,0.48838000000000004,0.17711300000000002,-0.021263999999999998,0.210754,0.229719,-0.0204618,-0.6464979999999999,-1.41172,-1.18628,0.310475,0.162767,-0.748533,-2.1892,1.67052,-0.800842,-0.23732199999999998,-0.0189118,0.167008,1.0350700000000002,-0.655015,1.42569,-0.108852,-0.511887,-0.713781,-0.234566,-0.978826,-0.034901999999999996,0.0662837,-0.412393,-0.202534,0.699387,-0.09243860000000001,0.178675,-0.138353,-0.75902,-0.710083,0.0896727,-0.59614,-1.01085,0.884194,-0.933047,-0.42654200000000003,0.153143,-0.20036900000000002,-0.23163899999999998,-0.251866,0.23183,0.015491,-0.126753,0.0751745,0.042875,0.9478840000000001
SPE00201506,0.217302,1.52639,0.138274,-1.6312799999999998,-8.34088,1.13772,-0.362582,-0.44499700000000003,0.85898,0.561808,1.74603,0.8594780000000001,-1.62049,-2.96084,-1.00413,0.893494,-0.538558,0.781118,-0.49555600000000005,-4.23303,3.22007,-1.5081200000000001,-1.3204799999999999,-5.99886,-22.8549,-1.88372,-0.548265,1.39456,-1.47509,0.852234,-1.54296,-0.909898,1.45054,1.48337,0.053004199999999994,0.402587,1.03054,-1.58877,1.3091899999999999,0.836937,1.19155,0.390326,-0.370865,-0.9969629999999999,1.2993,0.10406199999999999,-0.401592,0.17810399999999998,0.162156,1.31988,-1.26872,-3.1705,-0.712271,0.196943,0.7894720000000001,-0.667183,0.114442,-0.9188959999999999,2.05369,-0.412732,0.859266,-4.47639,-0.695829,-0.492497,-2.69614,4.17909,2.3885099999999997,0.817358,-0.137825,0.5165890000000001,-0.17466900000000002,0.7738649999999999,1.12422,-9.76952,-1.60228,1.3605399999999999,-0.9592860000000001,-5.635330000000001,-1.0490899999999999,-1.6406599999999998,-0.611705,-2.82875,1.95797,-0.562968,-5.54493,0.56426,1.8586799999999999,-0.4135,0.954636,-2.18702,-3.08177
SPE01503802,-0.453813,-0.730539,-0.592477,-0.910507,-0.9584299999999999,-1.56454,-2.1152,-0.874028,-0.547802,-1.21119,-1.0025899999999999,-1.59408,0.04803,-0.672566,-0.834376,-1.24463,-1.65367,-0.41647399999999996,-1.37296,-1.23347,0.0620996,-0.794999,-1.86674,-0.740927,-1.14344,-0.771282,-0.9883629999999999,-0.367843,-0.000704023,-1.43546,0.12542899999999998,-0.977685,-0.929292,-1.24019,-0.854298,-0.654424,-1.14537,-0.7490180000000001,-0.969982,-0.866867,-1.64369,-0.225529,-0.6942619999999999,-0.9034909999999999,-1.1580700000000002,-0.696199,-0.863417,-1.5609899999999999,-0.973942,-1.55324,-0.479404,-1.768,-0.500566,-1.39354,-0.45396400000000003,-0.42848800000000004,-1.16394,-0.9038700000000001,-1.7958,-0.425667,-1.16214,-1.76083,-0.195744,-0.0411051,-0.59746,-0.0708093,-1.42425,-0.760373,-1.09832,-1.35901,-1.48692,-0.0340934,-2.07404,-0.6281479999999999,-0.00943172,-1.49491,-1.25912,-0.42932200000000004,-0.970368,-0.767753,-1.09646,-1.49335,-0.690507,-0.828219,-1.8764900000000002,-1.36075,-0.473999,-1.28126,-1.55775,-1.04233,-0.907387
SPE01504228,0.549562,-0.06989010000000001,-0.399694,-0.111883,0.319523,0.00589347,0.316849,0.08157130000000001,-0.12954300000000002,-0.22235700000000003,-0.09406210000000001,-1.01475,-0.407918,-0.17742,0.349654,0.161143,-0.24785300000000002,-0.206679,0.18174300000000002,0.281733,-0.715254,0.20531799999999997,0.136641,0.171461,0.120122,1.22791,0.457136,-0.493989,0.413259,-0.10821199999999999,0.251033,0.29528699999999997,-0.0923608,-0.360598,-0.283632,0.553303,-0.722477,0.017674400000000003,-0.708863,0.0465011,-0.24640900000000002,-0.119102,0.00378213,0.069607,-0.435138,-0.0216348,-0.8966540000000001,-1.18093,-0.168126,0.0779363,0.561753,-1.71984,1.17882,0.21505300000000002,-0.133243,0.0297849,-0.431097,0.058728699999999995,-0.8249799999999999,-0.63942,-0.146698,-0.140679,0.367375,-0.18143499999999999,-0.020547700000000002,-0.16565,-0.30961900000000003,-0.38861999999999997,0.144799,-0.049689699999999996,0.0222171,0.101667,-0.140906,1.35406,0.305155,-0.598668,0.656611,-0.279842,1.16511,0.30276,-0.009355200000000001,0.33472399999999997,0.368674,0.040436900000000005,0.39158699999999996,1.74708,-0.0704115,1.11022,-0.319361,0.406122,4.36182
SPE01505257,1.52912,1.95058,0.9449569999999999,0.833857,1.13926,1.9879,-0.47244899999999995,1.56051,1.45575,1.40575,1.8555700000000002,0.9187219999999999,2.2147200000000002,1.08328,0.277907,1.7058200000000001,0.137492,1.93678,0.619109,2.25478,1.34774,1.99944,0.155614,1.06227,1.67032,1.6659700000000002,1.44949,1.8681599999999998,1.5459200000000002,0.398285,0.297126,1.42115,1.84115,2.23692,1.31818,-2.369,0.458338,1.9888400000000002,1.31762,1.39634,1.10917,1.48695,2.10244,0.823284,1.6224100000000001,2.0508,0.910256,1.1065,1.14201,2.3168900000000003,1.72848,0.0711439,1.25142,1.10255,1.87075,1.6402400000000001,1.7361900000000001,0.979143,1.32305,1.78351,1.24471,1.55965,1.74394,1.77673,0.53874,2.15814,2.01189,2.09305,1.5881299999999998,2.10875,-0.399594,0.5609029999999999,1.6702700000000001,1.4622,1.06786,1.33094,1.6350799999999999,1.51835,1.21899,2.1823,1.66385,0.576581,0.65298,2.0545,-0.341237,1.2655100000000001,2.06325,-0.034968599999999996,1.89885,-0.30025,1.5277100000000001
