supplier_obj_id,apc9,arf1,Arp1,arx1,Bck1,BCK2,BEM2,bik1,bmi1,BNI4,bre1-2nd,BRE1,BY4741-2nd,BY4741-3rd,BY4741,cdc73,CHS5,CIN2,CIN8,CKA2,cla4,clb2,cln2,cnb1-2nd,CNB1,cot1,ctf18,dbp3,dcg1,DEP1,DUN1,elg1,FKS1,FUR4,gas1,gcn5,GIM3,GPR1,HOC1,htz1,hxt1,idh2,ire1,kap123,kar3,kgd1,KRE1,LCB3,LGE1,mad1,mck1,mcm21,mdh1,met16,mrt4,MT1181-W303mata,MT2481-pdr1pdr3-2nd,MT2481-pdr1pdr3,NBP2,NUM1,nup100,PAC10,PDE1,pex11,POL32,pop2,PPH21,PPZ1,pre9,rad50,rad52,ric1-2nd,ric1,RNR3,rom2,ROT2,RPL9B,rpn10,rvs167,sam2,Sap30,sec22,ser1,set2,SHM2,SLT2,SMI1,spo22,SWE1,TEP1,tfp1,tif3,top1-2nd,TOP1,tub3,ubp8,vps1,VPS5,YKL085W,ypt6-2nd,YPT6
SPE00100002,-1.16153,-0.364006,-0.260373,-2.61123,0.371076,-0.808078,0.33692300000000003,-1.2912299999999999,-1.01565,0.10893299999999999,0.0457592,-0.015784799999999998,-0.608336,-2.41971,-0.291128,0.38522,-0.607524,-0.262866,-0.173434,-1.24619,-1.37551,-0.9893790000000001,-0.756834,-0.652065,-0.648728,-0.9589540000000001,-1.92298,-1.47062,-1.04966,-0.07360989999999999,-0.9678329999999999,-0.713975,0.325508,0.561211,0.440766,-1.02778,-0.465325,-0.89533,-0.169022,0.15003,-1.33239,-1.2781799999999999,-0.462958,-1.04201,-0.726667,-0.977341,-0.532668,-0.598598,-0.5978479999999999,-0.215811,-0.363019,-1.32961,-1.51725,-0.8248700000000001,-2.93505,-0.09532460000000001,-0.292265,-0.342384,0.257521,-0.550124,-1.51935,0.033731699999999996,-0.40221999999999997,-0.8195600000000001,-0.713237,-0.9294030000000001,-0.489914,-0.786506,0.0254155,-1.1782299999999999,-0.961742,-2.07016,-0.49535,-1.47727,-0.77782,-2.42293,-0.118808,-1.1728,-0.937882,-0.6718029999999999,-1.0859999999999999,-0.861252,-1.06643,-0.57229,-0.819629,-0.427072,-0.369688,-0.62593,-0.7044050000000001,-0.781149,-1.94045,-0.500916,-0.23988400000000001,-0.354502,-0.416525,-0.374816,-0.7495649999999999,-0.417184,-1.51725,-1.13363,-0.5125069999999999
SPE00100016,0.008681200000000002,-0.0321704,0.6012109999999999,-2.02497,0.422867,0.09353339999999999,-0.9511620000000001,-0.742889,-0.236273,0.24186799999999997,0.092184,0.35497399999999996,0.0512289,-0.872602,-0.0114154,0.25112199999999996,0.141796,-0.200348,0.268067,-0.224505,-0.520311,0.028874900000000002,-0.227645,0.364145,0.17757699999999998,-2.62048,-0.028370099999999995,-0.0565459,0.24712399999999998,0.181205,0.45590699999999995,-0.299064,0.22833699999999998,-0.249096,0.34020900000000004,-0.406935,0.230133,-0.22926300000000002,-0.205423,0.46166,-0.194687,-0.326256,-0.795754,-0.113246,-0.032940699999999996,-0.274446,-0.271755,-0.17643499999999998,0.170005,-0.0864271,0.169076,0.266111,-0.423101,-0.399426,-0.7698020000000001,0.5802430000000001,-0.0395333,0.639753,0.146976,0.293169,-0.22715700000000003,0.396405,0.21509099999999998,-0.211037,-0.28618000000000005,0.584767,0.24633899999999997,-0.12136300000000001,0.369419,-0.10868699999999999,-0.657233,1.0919299999999998,0.6662899999999999,0.317612,-0.08075800000000001,0.073543,0.14471199999999998,-0.0106201,0.000903752,-0.612124,0.167775,-0.130246,-0.23674499999999998,0.164918,0.28474499999999997,0.182578,0.245625,0.212439,0.30899899999999997,0.11237799999999999,-0.523354,-0.422104,-0.33273,-0.46557200000000004,-0.18060299999999999,-0.448737,-0.0705336,0.053872800000000005,-0.423101,-0.19258499999999998,0.842517
SPE00100058,0.740085,0.690879,0.00738943,-0.328288,0.36170399999999997,0.376774,-0.304675,0.478807,0.439482,0.0995572,0.09170089999999999,0.452884,0.342511,-0.00425541,0.308116,0.46496400000000004,0.369175,0.478624,-0.014622399999999999,0.23745700000000003,0.35747199999999996,0.687041,0.0697447,0.800145,0.213,0.772406,0.967485,1.19999,0.500775,0.264352,0.368086,0.126021,-0.0967205,-0.169168,0.092524,0.24203400000000003,0.352819,0.24990700000000002,0.268386,2.81243,0.859008,0.49881000000000003,0.44875200000000004,0.572679,0.170799,0.238529,0.293647,0.5504100000000001,0.0106096,0.475149,0.8237559999999999,0.601427,0.398814,0.746262,-0.276694,0.0283039,1.07332,1.01689,0.461283,0.175086,0.739146,0.304734,0.320373,0.6165390000000001,-0.026226999999999997,0.404172,0.288958,0.681729,0.597409,0.11319100000000001,0.266336,0.111295,0.639246,0.462714,0.699967,0.104308,0.222698,0.7831100000000001,0.782992,1.0911799999999998,0.37264899999999995,0.08253669999999999,0.571887,0.50071,0.771173,0.337237,1.00435,0.34407600000000005,0.389567,0.150286,0.588521,0.415738,0.39353299999999997,0.269408,0.39705,0.484362,0.531948,0.43604,0.398814,0.555373,0.238033
SPE00100094,-0.378207,-0.6793819999999999,-0.585947,0.406736,-1.6615,-0.608358,0.279841,0.765644,-0.10981199999999999,-0.488742,-0.193607,-1.07608,-0.271455,-0.211479,-0.878092,-2.35312,-0.386654,-0.168527,-0.503897,-0.0962843,0.284532,0.261052,0.107634,-0.376818,-0.0855778,0.34434499999999996,-0.712967,0.696537,0.497302,-0.178726,0.445338,0.16514600000000002,-1.38365,-0.25442600000000004,-2.32238,-0.18716,-0.0537785,-0.174438,-0.137004,-0.936742,0.206171,0.5069,0.21446300000000001,0.140281,-0.378128,0.36596300000000004,0.226204,-0.25251,0.14491500000000002,-1.17404,-0.37795500000000004,-0.522369,-0.276148,0.250513,0.33742,-0.195081,-2.58409,-1.89202,-0.97529,-0.102301,0.266052,-0.7326779999999999,-0.305298,0.25688,0.596716,-0.461271,0.058532400000000005,-0.293625,-1.1387399999999999,0.6126689999999999,0.11339500000000001,-0.534882,-2.86901,-0.553854,-0.803553,-0.1733,-0.282951,0.0645716,0.211998,0.06440850000000001,-0.08238089999999999,-0.588633,-1.10076,-0.305212,-0.386056,-0.120538,-1.89569,0.0523633,-0.20799,0.11404500000000001,0.318723,0.225615,-0.506033,-0.807704,0.069632,-0.411088,-0.9086059999999999,-0.20625500000000002,-0.276148,-2.3676,-2.07932
SPE00100126,0.135523,-0.49271800000000004,0.121198,-0.310537,-0.0803158,0.34923000000000004,0.340308,0.29386599999999996,-0.11048699999999999,-0.169465,0.024272799999999997,-0.182109,0.324934,0.8549180000000001,0.474887,-1.02271,0.295231,0.272524,0.07496860000000001,0.39931700000000003,-0.42896999999999996,-0.65674,-0.430252,-0.23131100000000002,0.42503100000000005,-0.637333,0.22751,-0.553044,-0.790027,0.273248,-0.13236199999999998,-0.336034,0.35439499999999996,-0.08280560000000001,-0.424573,-0.583761,0.098576,0.43415,0.138131,-0.741883,-0.282558,-0.588942,-0.216389,-0.312027,-0.136124,-0.027163599999999996,0.326264,0.448441,-0.101495,-0.621829,-0.414392,-0.00737414,-0.252125,-0.432418,-0.555388,-0.153926,-0.176981,0.265787,-0.761116,0.11910799999999999,0.402412,-0.249796,0.00204877,-0.5674100000000001,0.6644369999999999,-0.0677441,-0.0283663,0.309396,-0.9148,-0.21835700000000002,-0.227278,1.33549,0.60219,0.239947,-0.153889,0.0268079,0.10006799999999999,-0.41198599999999996,-0.36577600000000005,-0.197553,0.43305299999999997,0.06465359999999999,0.22350799999999998,-0.764428,0.12767699999999998,-0.0340102,0.547656,0.0223625,0.0007892169999999999,0.167167,-0.244445,-0.408632,0.107674,0.211101,-0.485545,-0.885233,0.0421884,0.0659715,-0.252125,1.5731600000000001,1.04782
SPE00100194,-0.967767,-0.596137,0.537201,0.059591099999999994,-0.274656,0.7802560000000001,0.499725,-0.467413,-0.23447800000000002,-0.253228,0.161422,0.13702999999999999,0.43782600000000005,0.641176,0.418245,-1.14736,0.450412,0.359362,0.13805699999999999,0.35473499999999997,0.0673054,-1.11204,-0.454941,0.33670500000000003,0.221572,-0.9868870000000001,-0.625189,-0.905975,-1.38383,-0.126849,-0.044253,-0.431093,-0.129334,0.33710999999999997,-0.758306,-0.513713,0.13391199999999998,0.716254,0.543592,-0.24461999999999998,-0.677715,-0.107623,-0.622041,-0.651523,-0.603825,-0.555167,-0.235181,0.428878,0.273902,-0.689589,-0.366439,-0.534503,-0.44265299999999996,-0.8841899999999999,-0.537097,-0.176292,-0.473919,0.5877180000000001,-0.06272559999999999,0.305481,-0.011813200000000001,0.10358699999999998,0.054327099999999996,-0.675276,0.9252729999999999,-0.768649,0.295656,0.500129,-1.17216,-0.612863,0.175287,-0.436562,-0.541115,0.48853199999999997,-0.356084,0.313529,-0.05001269999999999,-0.555614,-0.559667,-0.0834336,0.578693,0.178422,0.560466,-1.19176,0.31056100000000003,0.473092,-0.276507,-0.139802,-0.09316369999999999,0.5947560000000001,-0.0527121,-0.255521,0.300308,0.238952,-1.0095399999999999,-1.1797,-0.105011,0.247917,-0.44265299999999996,0.811669,-0.225039
SPE00100271,-30.8181,-36.5441,-43.2678,-18.2208,-17.8991,-28.046,-49.0143,-21.0229,-6.20211,-25.7197,-36.0965,-15.9281,-21.1749,-28.0044,-35.0969,-21.7806,-37.4611,-28.91,-42.6066,-11.2194,-6.734360000000001,-40.0848,-5.40206,-21.5517,-41.8438,-26.4464,-26.1689,-5.91495,-21.6501,-41.2715,-18.2137,-32.5602,-15.2251,-13.7418,-6.920780000000001,-12.8959,-23.4636,-16.3003,-17.0936,0.7544029999999999,-32.0279,-22.1058,-22.6327,-5.85979,-0.041532599999999996,-22.2652,-36.3842,-15.0207,-14.463,-41.5905,-39.4043,-31.9247,-23.9115,-34.6731,0.49158900000000005,-8.85851,-40.7273,-29.8099,-20.7183,-9.941089999999999,-2.11384,-18.8201,-23.0672,-46.4864,-14.8842,-22.0612,-24.7866,-10.1272,-15.1755,-5.241280000000001,-22.4444,-18.7345,-10.4863,-20.8298,-30.1386,-13.5546,-12.4333,-21.3326,-14.8865,-32.9487,-29.3743,-20.4611,-26.6933,-4.60038,-24.0322,-45.663999999999994,-19.567999999999998,-5.47009,-19.6389,-15.9544,-22.2045,-30.7229,-7.48108,-5.26918,-29.353,-23.5348,-36.1007,-18.0614,-23.9115,-25.6091,-7.9747699999999995
SPE00100305,-1.415,-0.7486649999999999,-0.0984541,0.404025,-0.345182,0.546056,0.488803,-1.22516,-0.840463,-0.315467,-0.534878,0.262108,-0.29799899999999996,-0.5482640000000001,0.371025,-0.569034,-0.318098,-0.599492,-0.225411,0.127054,-0.9028290000000001,-0.8392229999999999,-2.18139,-0.827457,-0.391358,-2.1301099999999997,-0.811248,-2.68791,-0.520199,-0.869403,-0.556858,-1.30035,1.07465,3.11481,2.63881,0.172816,-0.682917,0.40565999999999997,-0.41109300000000004,-0.121304,-1.4074200000000001,-0.848585,-0.9028729999999999,-1.6392400000000003,-1.76289,-1.07958,3.21033e-05,-0.689135,0.39731500000000003,-0.0401884,-0.756888,-1.05619,-1.3072,-0.558612,-0.396217,-0.26698,-0.645658,-0.190574,0.36935,-0.889769,-2.01646,-0.238327,-0.0380352,-1.1561,0.419142,-0.850835,-0.432123,0.382009,-1.59636,-1.62693,-1.51054,-0.250721,0.175663,0.121378,-0.9641620000000001,-0.405161,-0.795978,-0.726266,-1.91419,-1.31318,-0.653701,-0.016948500000000002,-0.09253789999999999,-0.9535680000000001,-1.00035,-1.3714,-0.0176732,-0.7681,-0.41985,-0.22380999999999998,-2.17212,-2.18607,0.456532,1.5537100000000001,-1.21696,-0.259065,-0.693476,-1.01463,-1.3072,0.0897352,0.37799499999999997
SPE00100003,-0.931182,-0.715296,-0.431666,-1.46965,0.0226082,-0.601668,-0.264266,-1.00461,-1.17735,0.67742,-0.505829,-0.5537920000000001,-0.639355,-1.8024,-0.6652020000000001,-0.17144700000000002,-0.6855859999999999,-0.801323,-0.290556,-1.58822,-1.06224,-1.1480700000000001,-0.9508260000000001,-0.423717,-0.557659,-0.969741,-1.7278799999999999,-1.15228,-1.2754299999999998,-0.544519,-0.494238,-1.22044,-0.722063,0.6069100000000001,1.5613,-0.27915700000000004,-0.582963,-0.644966,-0.588263,0.177505,-1.26652,-1.22666,-1.3655700000000002,-0.7652720000000001,-0.678537,-1.29269,-0.279595,-0.9320879999999999,-0.5453600000000001,0.48684700000000003,-0.767546,-0.48808500000000005,0.189826,-0.852348,-0.364658,0.7323189999999999,-1.49891,-1.45144,-0.420379,-0.44835,-0.720663,-0.270561,-0.172963,-1.23766,-0.807286,-0.779658,-0.10938599999999998,-1.1084,0.8834219999999999,-1.115,-1.46658,-1.03354,-1.0096100000000001,-0.779562,-1.26125,-2.0371099999999998,-0.223356,-1.60897,-1.2595,-1.05646,-0.9821639999999999,-1.44448,-1.49332,-0.333513,-0.770752,-0.438334,-0.0286142,-0.069582,-0.33126300000000003,-1.40876,-1.84697,-0.786778,-0.187676,0.83455,-0.713191,-0.30877,-0.302003,-0.34975900000000004,0.189826,-1.7145299999999999,-0.6628
SPE00100024,0.347993,0.249086,-0.0676508,-0.29577600000000004,-0.112072,-0.317862,-1.17061,0.752867,0.319861,-0.07952569999999999,-0.07249,-0.27992100000000003,-0.143264,-0.9362799999999999,-0.46622399999999997,-0.511413,0.266847,-0.032387400000000004,0.25810700000000003,-0.560517,0.37843899999999997,0.354923,0.778414,0.276868,0.215527,0.8279610000000001,0.6230720000000001,0.404246,0.528841,0.403923,0.438229,0.261315,-0.0154161,-1.24415,-0.609892,-0.708912,0.350938,-0.42741599999999996,-0.235046,-0.9272459999999999,0.8298469999999999,0.9019870000000001,0.8717940000000001,0.7622479999999999,0.620621,-0.146478,0.26054299999999997,-0.0496024,-0.6360979999999999,0.5415300000000001,0.899508,0.0670565,0.524936,0.293044,-0.688174,-0.6256010000000001,-0.21350700000000003,-0.651223,-0.438198,0.208508,0.0617663,0.149082,-0.07549310000000001,0.716963,-0.570012,0.605715,-0.287865,-0.32156799999999996,1.1050799999999998,0.415925,-0.211934,0.9401719999999999,0.375232,-0.558175,0.0223052,0.0333326,0.438303,0.0909855,0.611222,1.06784,0.10454000000000001,-0.202526,-0.332962,1.1163,0.013141700000000001,0.424084,-0.277796,0.06301860000000001,0.390302,-0.15923800000000002,0.313025,0.618769,-0.677398,-1.20413,0.27353099999999997,0.5178119999999999,-0.50736,0.274281,0.524936,0.0157584,0.0870441
